1|irtokarkkia
2|vettä
3|kamaa
4|kananmunaa
5|jauhelihaa
6|sipulia
7|Valkosipulin kynttä
8|tomaattimurskaa
9|liha-juuresliemikuutiota
10|sokeria
11|Oivariini juoksevaa
12|vehnäjauhoja
13|Valio Kiehu maitojuomaa
14|Valio Emmental raastetta
15|suolaa
16|jauhettua valkopippuria
17|sarvimakaronia
18|maitoa
19|porkkanaa
20|lanttua
21|juuriselleriä
22|liha- tai kasvisliemikuutiota
23|maustepippuria
24|isoa perunaa
25|purjo
26|siskonmakkaroita
27|kirveliä
28|lollipops
30|Raaka-aine
31|kaljaa
32|Vettä
33|Juureksia
